count|model|name|info|keep?
63129|stock.picking|Transfer| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
54527|sapentia_shopware_importer.import_logs|Shopware Import Logs| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
51100|ir.translation|Translation| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
46670|mail.notification|Message Notifications| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
45110|account.full.reconcile|Full Reconcile| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
41571|helpdesk.sla.report.analysis|SLA Status Analysis| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
39383|procurement.group|Procurement Group|     The procurement group class is used to group products together     when computing procurements. (tasks, physical products, ...)      The goal is that when you have one sales order of several products     and the products are pulled from the same or several location(s), to keep     having the moves grouped into pickings that represent the sales order.      Used in: sales order (to group delivery order lines like the so), pull/push     rules (to pack like the delivery order), on orderpoints (e.g. for wave picking     all the similar products together).      Grouping is made only if the source and the destination is the same.     Suppose you have 4 lines on a picking from Output where 2 lines will need     to come from Input (crossdock) and 2 lines coming from Stock -> Output As     the four will have the same group ids from the SO, the move from input will     have a stock.picking with 2 grouped lines and the move from stock will have     2 grouped lines also.      The name is usually the name of the original document (sales order) or a     sequence computed if created manually.     |
36781|rules_engine.warehouse_export_line|Warehouse Export Log Line| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
36447|rules_engine.warehouse_export|Warehouse Export Log| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
36257|helpdesk.ticket|Helpdesk Ticket| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
35283|sapentia_shopware_importer.order_address_map|Shopware Order Address Map| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
28154|account.payment|Payments| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
25592|ir.logging|Logging| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
20142|x_legacy_deliveries|Legacy Deliveries| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
17614|stock.inventory.line|Inventory Line| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
17050|sapentia_shopware_importer.shopware_payment|Shopware Payments| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
16734|helpdesk.sla.status|Ticket SLA Status| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
16333|mrp.bom.line|Bill of Material Line| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
15722|ir.attachment|Attachment|Attachments are used to link binary files or url to any openerp document.      External attachment storage     ---------------------------      The computed field ``datas`` is implemented using ``_file_read``,     ``_file_write`` and ``_file_delete``, which can be overridden to implement     other storage engines. Such methods should check for other location pseudo     uri (example: hdfs://hadoopserver).      The default implementation is the file:dirname location that stores files     on the local filesystem using name based on their sha1 hash     |
15314|ir.model.fields|Fields| fields configuration for form builder |
11311|product.product|Product| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
11049|rules_engine.warehouse_import|Warehouse Import Log| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
10015|stock.quant|Quants| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
9664|rules_engine.errors|Rules Engine Error Records| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
9649|product.template|Product Template| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
9358|shipped.order.data.queue.line.ept|Shipped Order Data Queue Line Ept| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
9189|rules_engine.tariff_weights|Rules Engine cost-per-weight bands| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
5903|mrp.bom|Bill of Material| Defines bills of material for a product or a product template |
4925|stock.quant.package|Packages| Packages containing quants and/or other packages |
4892|sapentia_shopware_importer.article_map|Shopware Product Map| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
4669|common.log.book.ept|Common log book for all connector| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
4338|stock.production.lot|Lot/Serial| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
2986|account.analytic.line|Analytic Line| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
2901|ir.ui.view|View| Mixin that overrides the create and write methods to properly generate         ir.model.data entries flagged with Studio for the corresponding resources.         Doesn't create an ir.model.data if the record is part of a module being         currently installed as the ir.model.data will be created automatically         afterwards.     |
2689|account.bank.statement.line|Bank Statement Line| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
2675|ir.model.fields.selection|Fields Selection| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
2566|ir.model.constraint|Model Constraint|     This model tracks PostgreSQL foreign keys and constraints used by Odoo     models.     |
2303|product.template.attribute.value|Product Template Attribute Value|Materialized relationship between attribute values     and product template generated by the product.template.attribute.line|
2303|product.category|Product Category| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
2263|sapentia_shopware_importer.category_map|Shopware Product Category Map| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
1518|common.log.lines.ept|Common log line for all connector| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
1467|hr.contract.employee.report|Contract and Employee Analysis Report| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
1445|res.country.state|Country state| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
1422|website.track|Visited Pages| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
1395|ir.module.module.dependency|Module dependency| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
1317|purchase.bill.union|Purchases & Bills Union| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
1281|amazon.product.ept|Amazon Product Mapping with Odoo Products| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
1263|purchase.order.line|Purchase Order Line| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
1162|purchase.report|Purchase Report| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
1124|ir.model.access|Model Access| Mixin that overrides the create and write methods to properly generate         ir.model.data entries flagged with Studio for the corresponding resources.         Doesn't create an ir.model.data if the record is part of a module being         currently installed as the ir.model.data will be created automatically         afterwards.     |
1092|ir.actions.actions|Actions| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
1092|ir.actions.act_window_close|Action Window Close| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
1024|mail.mail|Outgoing Mails|Add the mass mailing campaign data to mail|
932|stock.valuation.adjustment.lines|Valuation Adjustment Lines| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
930|res.partner.bank|Bank Accounts| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
894|ir.exports.line|Exports Line| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
871|stock.inventory|Inventory| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
870|base_import.mapping|Base Import Mapping| mapping of previous column:field selections      This is useful when repeatedly importing from a third-party     system: column names generated by the external system may     not match Odoo's field names or labels. This model is used     to save the mapping between column names and fields so that     next time a user imports from the same third-party systems     we can automatically match the columns to the correct field     without them having to re-enter the mapping every single     time.     |
800|rules_engine.volume_bands|Rules Engine cost-per-volume bands| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
764|ir.actions.act_window|Action Window| Mixin that overrides the create and write methods to properly generate         ir.model.data entries flagged with Studio for the corresponding resources.         Doesn't create an ir.model.data if the record is part of a module being         currently installed as the ir.model.data will be created automatically         afterwards.     |
740|ir.model|Models| Mixin that overrides the create and write methods to properly generate         ir.model.data entries flagged with Studio for the corresponding resources.         Doesn't create an ir.model.data if the record is part of a module being         currently installed as the ir.model.data will be created automatically         afterwards.     |
704|ir.ui.menu|Menu| Mixin that overrides the create and write methods to properly generate         ir.model.data entries flagged with Studio for the corresponding resources.         Doesn't create an ir.model.data if the record is part of a module being         currently installed as the ir.model.data will be created automatically         afterwards.     |
670|ir.module.module|Module| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
650|product.template.attribute.line|Product Template Attribute Line|Attributes available on product.template with their selected values in a m2m.     Used as a configuration model to generate the appropriate product.template.attribute.value|
580|website.visitor|Website Visitor| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
508|project.task|Task| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
494|report.project.task.user|Tasks Analysis| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
416|account.account|Account| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
351|mail.activity|Activity| An actual activity to perform. Activities are linked to     documents using res_id and res_model_id fields. Activities have a deadline     that can be used in kanban view to display a status. Once done activities     are unlinked and a message is posted. This message has a new activity_type_id     field that indicates the activity linked to the message. |
348|stock.rule|Stock Rule| A rule describe what a procurement should do; produce, buy, move, ... |
342|ir.sequence|Sequence| Sequence model.      The sequence model allows to define and use so-called sequence objects.     Such objects are used to generate unique identifiers in a transaction-safe     way.      |
332|stock.location|Inventory Locations| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
300|account.tax.repartition.line|Tax Repartition Line| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
283|delivery.carrier|Shipping Methods|         Amazon Delivery Code will set at time Update Order Status         Based on matching shipping service level category Carrier will set in Sales Order     |
272|ir.rule|Rule| Mixin that overrides the create and write methods to properly generate         ir.model.data entries flagged with Studio for the corresponding resources.         Doesn't create an ir.model.data if the record is part of a module being         currently installed as the ir.model.data will be created automatically         afterwards.     |
257|sapentia_shopware_importer.tax_map|Shopware Tax Map| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
255|mail.channel.partner|Listeners of a Channel| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
250|res.country|Country| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
249|ir.actions.act_window.view|Action Window View| Mixin that overrides the create and write methods to properly generate         ir.model.data entries flagged with Studio for the corresponding resources.         Doesn't create an ir.model.data if the record is part of a module being         currently installed as the ir.model.data will be created automatically         afterwards.     |
237|ir.model.relation|Relation Model|     This model tracks PostgreSQL tables used to implement Odoo many2many     relations.     |
211|ir.actions.server|Server Action| Add website option in server actions. |
205|amazon.fulfillment.country.rel|amazon.fulfillment.country.rel| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
201|account.analytic.account|Analytic Account| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
200|stock.picking.type|Picking Type| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
173|account.asset|Asset/Revenue Recognition| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
170|res.currency|Currency| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
161|account.analytic.tag|Analytic Tags| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
156|stock.location.route|Inventory Routes| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
156|mail.alias|Email Aliases|A Mail Alias is a mapping of an email address with a given Odoo Document        model. It is used by Odoo's mail gateway when processing incoming emails        sent to the system. If the recipient address (To) of the message matches        a Mail Alias, the message will be either processed following the rules        of that alias. If the message is a reply it will be attached to the        existing discussion on the corresponding record, otherwise a new        record of the corresponding model will be created.         This is meant to be used in combination with a catch-all email configuration        on the company's mail server, so that as soon as a new mail.alias is        created, it becomes immediately usable and Odoo will accept email for it.      |
153|account.bank.statement|Bank Statement| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
147|ir.filters|Filters| Mixin that overrides the create and write methods to properly generate         ir.model.data entries flagged with Studio for the corresponding resources.         Doesn't create an ir.model.data if the record is part of a module being         currently installed as the ir.model.data will be created automatically         afterwards.     |
136|account.analytic.distribution|Analytic Account Distribution| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
134|rules_engine.package_cost|Rules Engine cost-per-package bands| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
129|ir.server.object.lines|Server Action value mapping| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
119|ks_dashboard_ninja.item|Dashboard Ninja items| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
110|purchase.order|Purchase Order| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
105|mis.report.kpi.expression|MIS Report KPI Expression|A KPI Expression is an expression of a line of a MIS report Kpi.     It's used to compute the kpi value.     |
105|mis.report.kpi|MIS Report KPI|A KPI is an element (ie a line) of a MIS report.      In addition to a name and description, it has an expression     to compute it based on queries defined in the MIS report.     It also has various informations defining how to render it     (numeric or percentage or a string, a prefix, a suffix, divider) and     how to render comparison of two values of the KPI.     KPI's have a sequence and are ordered inside the MIS report.     |
101|product.supplierinfo|Supplier Pricelist| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
101|shipped.order.data.queue.ept|Shipped Order Data Queue Ept| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
100|account.account.template|Templates for Accounts| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
96|theme.ir.ui.view|Theme UI View| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
93|product.attribute.value|Attribute Value| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
92|account.tax.repartition.line.template|Tax Repartition Line Template| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
92|account.report.manager|Manage Summary and Footnotes of Reports| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
90|project.tags|Project Tags| Tags of project's tasks |
89|res.groups|Access Groups| Mixin that overrides the create and write methods to properly generate         ir.model.data entries flagged with Studio for the corresponding resources.         Doesn't create an ir.model.data if the record is part of a module being         currently installed as the ir.model.data will be created automatically         afterwards.     |
88|theme.ir.attachment|Theme Attachments| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
88|mail.channel|Discussion Channel| A mail.channel is a discussion group that may behave like a listener     on documents. |
87|account.root|Account codes first 2 digits| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
86|ir.module.category|Application| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
85|res.lang|Languages| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
83|rules_engine.package_content|Rules Engine Allowed Package Combination Contents| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
